position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-0.833333333333333
104	0	-0.666666666666667
105	0	-0.333333333333333
106	0	-0.5
107	0	-0.666666666666667
108	0	-0.666666666666667
109	0	-0.666666666666667
110	0	-0.666666666666667
111	0	-1
112	0	-0.666666666666667
113	0	-0.333333333333333
114	0	0
115	0.333333333333333	0
116	0	0
117	0	-0.333333333333333
118	0	-0.666666666666667
119	0	-1
120	0	-1
121	0	-1
122	0	-0.666666666666667
123	0	-1
124	0	-1
125	0	-0.666666666666667
126	0	-0.666666666666667
127	0	-0.5
128	0	-0.833333333333333
129	0	-0.666666666666667
130	0	-0.5
131	0	-0.166666666666667
132	0	0
133	0.333333333333333	0
134	0.333333333333333	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0.333333333333333	0
140	0	0
141	0	-0.333333333333333
142	0	-0.666666666666667
143	0	-0.666666666666667
144	0	-0.666666666666667
145	0	-0.666666666666667
146	0	-0.333333333333333
147	0	-0.333333333333333
148	0	-0.333333333333333
149	0	-0.5
150	0	-0.666666666666667
151	0	-1
152	0	-1
153	0	-1
154	0	-0.666666666666667
155	0	-0.333333333333333
156	0	0
157	0.333333333333333	0
158	0.666666666666667	0
159	0.666666666666667	0
160	0.666666666666667	0
161	0.333333333333333	0
162	0	0
163	0	-0.333333333333333
164	0	-0.666666666666667
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-1
170	0	-1
171	0	-1
172	0	-0.666666666666667
173	0	-0.333333333333333
174	0	0
175	0.166666666666667	0
176	0.5	0
177	0.333333333333333	0
178	0.666666666666667	0
179	0.666666666666667	0
180	0.666666666666667	0
181	0.333333333333333	0
182	0	0
183	0	-0.333333333333333
184	0	-0.5
185	0	-0.833333333333333
186	0	-1
187	0	-1
188	0	-1
189	0	-1
190	0	-1
191	0	-1
192	0	-1
193	0	-1
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-1
199	0	-1
200	0	-1
201	0	-1
202	0	-1
203	0	-1
204	0	-1
205	0	-1
206	0	-1
207	0	-1
208	0	-1
209	0	-1
210	0	-1
211	0	-0.666666666666667
212	0	-0.333333333333333
213	0	0
214	0.333333333333333	0
215	0.666666666666667	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	0.666666666666667	0
223	0.5	0
224	0.333333333333333	0
225	0	0
226	0	0
227	0	-0.333333333333333
228	0	-0.5
229	0	-0.666666666666667
230	0	-0.666666666666667
231	0	-0.666666666666667
232	0	-0.5
