position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-0.666666666666667
66	0	-0.333333333333333
67	0	0
68	0.333333333333333	0
69	0.666666666666667	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	0.666666666666667	0
82	0.333333333333333	0
83	0.333333333333333	0
84	0	0
85	0	-0.333333333333333
86	0	-0.333333333333333
87	0	-0.666666666666667
88	0	-0.666666666666667
89	0	-0.666666666666667
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-0.666666666666667
96	0	-0.333333333333333
97	0	0
98	0.333333333333333	0
99	0.666666666666667	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	0.666666666666667	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	0.666666666666667	0
152	0.333333333333333	0
153	0	0
154	0	-0.333333333333333
155	0	-0.666666666666667
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-1
170	0	-0.666666666666667
171	0	-0.333333333333333
172	0	0
173	0.333333333333333	0
174	0.666666666666667	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	0.666666666666667	0
187	0.333333333333333	0
188	0	0
189	0	0
190	0	-0.333333333333333
191	0	-0.666666666666667
192	0	-1
193	0	-1
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-0.666666666666667
199	0	-0.333333333333333
200	0	0
201	0.333333333333333	0
202	0.666666666666667	0
203	1	0
204	0.666666666666667	0
205	0.666666666666667	0
206	0.666666666666667	0
207	0.666666666666667	0
208	0.666666666666667	0
209	0.666666666666667	0
210	0.666666666666667	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	1	0
232	0.666666666666667	0
233	0.333333333333333	0
234	0	0
235	0	-0.333333333333333
236	0	-0.333333333333333
237	0	-0.333333333333333
238	0	-0.333333333333333
239	0	0
240	0.333333333333333	0
241	0.666666666666667	0
242	0.666666666666667	0
243	0.666666666666667	0
244	0.666666666666667	0
245	0.666666666666667	0
246	0.333333333333333	0
247	0	0
248	0	-0.333333333333333
249	0	-0.666666666666667
250	0	-1
251	0	-1
252	0	-1
253	0	-1
254	0	-1
255	0	-1
256	0	-1
257	0	-1
258	0	-1
259	0	-1
260	0	-1
261	0	-1
262	0	-1
263	0	-1
264	0	-1
265	0	-1
266	0	-1
267	0	-1
268	0	-1
269	0	-1
270	0	-1
271	0	-1
272	0	-1
273	0	-1
274	0	-1
275	0	-1
276	0	-1
277	0	-1
278	0	-1
279	0	-1
280	0	-1
281	0	-1
282	0	-1
283	0	-1
284	0	-1
285	0	-1
286	0	-1
287	0	-1
288	0	-1
289	0	-1
290	0	-1
291	0	-1
292	0	-1
293	0	-1
294	0	-1
295	0	-1
296	0	-1
297	0	-1
298	0	-1
299	0	-1
300	0	-1
301	0	-1
302	0	-1
303	0	-1
304	0	-1
305	0	-1
306	0	-1
307	0	-1
308	0	-1
309	0	-1
310	0	-1
311	0	-1
312	0	-1
313	0	-1
314	0	-1
315	0	-1
316	0	-1
317	0	-1
318	0	-1
319	0	-0.833333333333333
320	0	-0.666666666666667
321	0	-0.5
322	0	-0.333333333333333
323	0	-0.166666666666667
324	0	0
