position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-0.833333333333333
32	0	-0.833333333333333
33	0	-0.5
34	0	-0.166666666666667
35	0.166666666666667	0
36	0.5	0
37	0.666666666666667	0
38	0.666666666666667	0
39	0.666666666666667	0
40	0.333333333333333	0
41	0.333333333333333	0
42	0.5	0
43	0.166666666666667	0
44	0	-0.166666666666667
45	0	-0.333333333333333
46	0	-0.5
47	0	-0.833333333333333
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-0.666666666666667
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-0.666666666666667
64	0	-0.5
65	0	-0.333333333333333
66	0	-0.166666666666667
67	0	-0.333333333333333
68	0	-0.166666666666667
69	0	0
70	0.333333333333333	0
71	0.333333333333333	0
72	0.333333333333333	0
73	0.666666666666667	0
74	0.666666666666667	0
75	0.666666666666667	0
76	0.666666666666667	0
77	0.833333333333333	0
78	0.666666666666667	0
79	0.333333333333333	0
80	0.666666666666667	0
81	1	0
82	1	0
83	1	0
84	1	0
85	0.833333333333333	0
86	0.666666666666667	0
87	1	0
88	0.666666666666667	0
89	0.333333333333333	0
90	0	0
91	0	-0.333333333333333
92	0	-0.666666666666667
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-1
104	0	-0.666666666666667
105	0	-0.333333333333333
106	0	0
107	0.333333333333333	0
108	0.666666666666667	0
109	1	0
110	1	0
111	0.666666666666667	0
112	0.666666666666667	0
113	0.333333333333333	0
114	0.166666666666667	0
115	0	0
116	0	0
117	0.333333333333333	0
118	0.333333333333333	0
119	0.666666666666667	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	0.833333333333333	0
140	0.666666666666667	0
141	0.666666666666667	0
142	0.666666666666667	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	0.666666666666667	0
155	0.333333333333333	0
156	0	0
157	0	-0.333333333333333
158	0	-0.666666666666667
159	0	-0.833333333333333
160	0	-0.666666666666667
161	0	-0.333333333333333
162	0	0
163	0.333333333333333	0
164	0.666666666666667	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	0.666666666666667	0
178	0.666666666666667	0
179	0.666666666666667	0
180	0.666666666666667	0
181	0.666666666666667	0
182	0.666666666666667	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	0.666666666666667	0
190	0.333333333333333	0
191	0.666666666666667	0
192	0.666666666666667	0
193	0.666666666666667	0
194	0.666666666666667	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	0.666666666666667	0
232	0.666666666666667	0
233	0.666666666666667	0
234	1	0
235	1	0
