position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-0.666666666666667
102	0	-0.5
103	0	-0.333333333333333
104	0	-0.333333333333333
105	0	-0.333333333333333
106	0	0
107	0	-0.333333333333333
108	0	-0.333333333333333
109	0	-0.333333333333333
110	0	-0.333333333333333
111	0	-0.333333333333333
112	0	-0.333333333333333
113	0	0
114	0	0
115	0.333333333333333	0
116	0.333333333333333	0
117	0.666666666666667	0
118	0.666666666666667	0
119	0.666666666666667	0
120	0.833333333333333	0
121	0.666666666666667	0
122	0.666666666666667	0
123	0.666666666666667	0
124	0.666666666666667	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	0.666666666666667	0
132	0.333333333333333	0
133	0.333333333333333	0
134	0.333333333333333	0
135	0.333333333333333	0
136	0.333333333333333	0
137	0.666666666666667	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	0.666666666666667	0
158	0.333333333333333	0
159	0	0
160	0	-0.333333333333333
161	0	-0.666666666666667
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-0.666666666666667
170	0	-0.333333333333333
171	0	0
172	0.333333333333333	0
173	0.666666666666667	0
174	1	0
175	0.666666666666667	0
176	0.333333333333333	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0.333333333333333	0
182	0.666666666666667	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	0.666666666666667	0
217	0.333333333333333	0
218	0	0
219	0	-0.333333333333333
220	0	-0.666666666666667
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-0.666666666666667
231	0	-0.333333333333333
232	0	0
233	0.333333333333333	0
234	0.666666666666667	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254	1	0
255	1	0
