position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-0.666666666666667
64	0	-0.333333333333333
65	0	0
66	0.333333333333333	0
67	0.666666666666667	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	0.666666666666667	0
92	0.666666666666667	0
93	0.666666666666667	0
94	0.666666666666667	0
95	0.666666666666667	0
96	0.666666666666667	0
97	0.666666666666667	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	0.666666666666667	0
105	0.666666666666667	0
106	0.666666666666667	0
107	0.333333333333333	0
108	0.666666666666667	0
109	0.333333333333333	0
110	0.666666666666667	0
111	0.666666666666667	0
112	0.666666666666667	0
113	0.666666666666667	0
114	0.666666666666667	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	0.666666666666667	0
123	0.333333333333333	0
124	0	0
125	0	-0.333333333333333
126	0	-0.333333333333333
127	0	0
128	0.333333333333333	0
129	0.333333333333333	0
130	0.666666666666667	0
131	1	0
132	0.666666666666667	0
133	0.666666666666667	0
134	0.333333333333333	0
135	0.333333333333333	0
136	0.333333333333333	0
137	0	0
138	0	-0.333333333333333
139	0	-0.666666666666667
140	0	-0.666666666666667
141	0	-0.333333333333333
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	-0.333333333333333
148	0	-0.666666666666667
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-1
170	0	-1
171	0	-1
172	0	-1
173	0	-1
174	0	-1
175	0	-1
176	0	-1
177	0	-1
178	0	-1
179	0	-0.666666666666667
180	0	-0.333333333333333
181	0	-0.333333333333333
182	0	0
183	0	0
184	0	0
185	0	0
186	0	-0.333333333333333
187	0	-0.666666666666667
188	0	-1
189	0	-1
190	0	-1
191	0	-1
192	0	-1
193	0	-1
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-1
199	0	-1
200	0	-1
201	0	-1
202	0	-1
203	0	-0.666666666666667
204	0	-0.333333333333333
205	0	-0.333333333333333
206	0	0
207	0.333333333333333	0
208	0.666666666666667	0
209	0.333333333333333	0
210	0.333333333333333	0
211	0.333333333333333	0
212	0.666666666666667	0
213	0.666666666666667	0
214	0.666666666666667	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	0.666666666666667	0
223	0.333333333333333	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0.333333333333333	0
229	0.333333333333333	0
230	0.666666666666667	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
