position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-1
104	0	-1
105	0	-1
106	0	-1
107	0	-1
108	0	-1
109	0	-0.666666666666667
110	0	-0.666666666666667
111	0	-0.666666666666667
112	0	-0.666666666666667
113	0	-0.666666666666667
114	0	-0.666666666666667
115	0	-0.833333333333333
116	0	-1
117	0	-1
118	0	-1
119	0	-1
120	0	-0.666666666666667
121	0	-0.666666666666667
122	0	-0.666666666666667
123	0	-0.333333333333333
124	0	0
125	0.166666666666667	0
126	0.333333333333333	0
127	0.666666666666667	0
128	0.666666666666667	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	0.666666666666667	0
135	0.333333333333333	0
136	0.166666666666667	0
137	0	-0.166666666666667
138	0	-0.333333333333333
139	0	-0.666666666666667
140	0	-1
141	0	-1
142	0	-1
143	0	-1
144	0	-1
145	0	-1
146	0	-1
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-1
170	0	-1
171	0	-1
172	0	-1
173	0	-1
174	0	-1
175	0	-1
176	0	-0.666666666666667
177	0	-0.333333333333333
178	0	0
179	0.333333333333333	0
180	0.666666666666667	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	0.833333333333333	0
197	0.833333333333333	0
198	0.666666666666667	0
199	0.666666666666667	0
200	0.5	0
201	0.333333333333333	0
202	0.166666666666667	0
203	0.333333333333333	0
204	0.333333333333333	0
205	0.666666666666667	0
206	0.666666666666667	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	1	0
232	0.666666666666667	0
233	0.333333333333333	0
234	0.333333333333333	0
235	0	0
236	0	-0.333333333333333
237	0	-0.333333333333333
238	0	-0.666666666666667
239	0	-0.666666666666667
240	0	-0.333333333333333
241	0	0
242	0.333333333333333	0
243	0.666666666666667	0
244	1	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
