position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-0.666666666666667
89	0	-0.666666666666667
90	0	-0.333333333333333
91	0	0
92	0.333333333333333	0
93	0.666666666666667	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	0.666666666666667	0
165	0.666666666666667	0
166	0.333333333333333	0
167	0.666666666666667	0
168	0.666666666666667	0
169	0.666666666666667	0
170	0.666666666666667	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	0.666666666666667	0
185	0.666666666666667	0
186	0.666666666666667	0
187	0.666666666666667	0
188	0.666666666666667	0
189	0.666666666666667	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	0.666666666666667	0
202	0.666666666666667	0
203	0.333333333333333	0
204	0.333333333333333	0
205	0.333333333333333	0
206	0	0
207	0	0
208	0	-0.333333333333333
209	0	-0.666666666666667
210	0	-0.333333333333333
211	0	0
212	0.333333333333333	0
213	0.666666666666667	0
214	0.666666666666667	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	0.666666666666667	0
232	0.333333333333333	0
233	0	0
234	0	-0.333333333333333
235	0	-0.666666666666667
236	0	-1
237	0	-1
238	0	-1
239	0	-1
240	0	-1
241	0	-1
242	0	-1
243	0	-1
244	0	-1
245	0	-1
246	0	-1
247	0	-1
248	0	-1
249	0	-1
250	0	-1
251	0	-1
252	0	-1
253	0	-0.833333333333333
254	0	-0.666666666666667
255	0	-0.5
256	0	-0.333333333333333
257	0	-0.166666666666667
258	0	0
