position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-0.666666666666667
32	0	-0.666666666666667
33	0	-0.5
34	0	-0.5
35	0	-0.333333333333333
36	0	-0.166666666666667
37	0	-0.5
38	0	-0.333333333333333
39	0	-0.333333333333333
40	0	0
41	0	0
42	0	-0.333333333333333
43	0	-0.666666666666667
44	0	-0.666666666666667
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-0.833333333333333
69	0	-0.666666666666667
70	0	-0.333333333333333
71	0	0
72	0.333333333333333	0
73	0.666666666666667	0
74	0.666666666666667	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	0.666666666666667	0
84	0.5	0
85	0.333333333333333	0
86	0	0
87	0	-0.333333333333333
88	0	-0.666666666666667
89	0	-0.666666666666667
90	0	-0.333333333333333
91	0	0
92	0.333333333333333	0
93	0.666666666666667	0
94	1	0
95	0.666666666666667	0
96	0.666666666666667	0
97	0.666666666666667	0
98	0.666666666666667	0
99	0.666666666666667	0
100	0.666666666666667	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	0.666666666666667	0
111	0.333333333333333	0
112	0	0
113	0	-0.333333333333333
114	0	-0.666666666666667
115	0	-1
116	0	-1
117	0	-1
118	0	-1
119	0	-1
120	0	-1
121	0	-1
122	0	-1
123	0	-1
124	0	-1
125	0	-1
126	0	-1
127	0	-1
128	0	-1
129	0	-0.666666666666667
130	0	-0.5
131	0	-0.333333333333333
132	0	0
133	0.166666666666667	0
134	0.5	0
135	0.833333333333333	0
136	0.833333333333333	0
137	1	0
138	1	0
139	0.666666666666667	0
140	0.333333333333333	0
141	0.166666666666667	0
142	0	-0.166666666666667
143	0	-0.5
144	0	-0.666666666666667
145	0	-1
146	0	-0.666666666666667
147	0	-1
148	0	-0.666666666666667
149	0	-0.333333333333333
150	0	0
151	0.333333333333333	0
152	0.666666666666667	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	0.666666666666667	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	0.666666666666667	0
170	0.666666666666667	0
171	0.666666666666667	0
172	0.666666666666667	0
173	0.666666666666667	0
174	0.666666666666667	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	0.666666666666667	0
196	0.333333333333333	0
197	0	0
198	0	-0.333333333333333
199	0	-0.666666666666667
200	0	-1
201	0	-1
202	0	-1
203	0	-1
204	0	-0.666666666666667
205	0	-0.333333333333333
206	0	0
207	0.333333333333333	0
208	0.666666666666667	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
