position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-0.666666666666667
41	0	-0.333333333333333
42	0	-0.333333333333333
43	0	0
44	0.333333333333333	0
45	0.666666666666667	0
46	0.333333333333333	0
47	0.333333333333333	0
48	0	0
49	0	-0.333333333333333
50	0	-0.333333333333333
51	0	-0.666666666666667
52	0	-0.666666666666667
53	0	-0.666666666666667
54	0	-0.333333333333333
55	0	-0.333333333333333
56	0	0
57	0	0
58	0	-0.333333333333333
59	0	-0.333333333333333
60	0	-0.333333333333333
61	0	-0.166666666666667
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	-0.333333333333333
73	0	-0.333333333333333
74	0	-0.5
75	0	-0.5
76	0	-0.5
77	0	-0.166666666666667
78	0	0
79	0.333333333333333	0
80	0.666666666666667	0
81	0.666666666666667	0
82	0.833333333333333	0
83	0.833333333333333	0
84	0.833333333333333	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	0.833333333333333	0
128	0.833333333333333	0
129	0.833333333333333	0
130	1	0
131	1	0
132	1	0
133	1	0
134	0.666666666666667	0
135	0.333333333333333	0
136	0.333333333333333	0
137	0	0
138	0	-0.333333333333333
139	0	-0.666666666666667
140	0	-1
141	0	-1
142	0	-0.666666666666667
143	0	-0.333333333333333
144	0	0
145	0.333333333333333	0
146	0.666666666666667	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	0.666666666666667	0
165	0.666666666666667	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	0.833333333333333	0
175	0.666666666666667	0
176	0.666666666666667	0
177	0.666666666666667	0
178	0.833333333333333	0
179	0.666666666666667	0
180	1	0
181	1	0
182	1	0
183	0.666666666666667	0
184	0.666666666666667	0
185	0.333333333333333	0
186	0	0
187	0	-0.333333333333333
188	0	-0.333333333333333
189	0	-0.666666666666667
190	0	-1
191	0	-1
192	0	-0.666666666666667
193	0	-0.333333333333333
194	0	0
195	0	0
196	0	0
197	0	0
198	0	-0.166666666666667
199	0	-0.333333333333333
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	-0.166666666666667
206	0	-0.333333333333333
207	0	-0.5
208	0	-0.666666666666667
209	0	-0.666666666666667
210	0	-0.666666666666667
211	0	-0.666666666666667
212	0	-0.666666666666667
213	0	-1
214	0	-1
215	0	-1
216	0	-1
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-0.833333333333333
229	0	-0.666666666666667
230	0	-0.5
231	0	-0.333333333333333
232	0	-0.166666666666667
233	0	0
