position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-0.833333333333333
14	0	-0.666666666666667
15	0	-0.333333333333333
16	0	0
17	0.333333333333333	0
18	0.666666666666667	0
19	0.666666666666667	0
20	1	0
21	1	0
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	0.666666666666667	0
75	0.333333333333333	0
76	0.166666666666667	0
77	0	-0.166666666666667
78	0	-0.333333333333333
79	0	-0.666666666666667
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-0.666666666666667
89	0	-0.333333333333333
90	0	0
91	0.333333333333333	0
92	0.666666666666667	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	0.666666666666667	0
103	0.666666666666667	0
104	0.666666666666667	0
105	0.666666666666667	0
106	0.666666666666667	0
107	0.666666666666667	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	0.666666666666667	0
140	0.333333333333333	0
141	0.333333333333333	0
142	0.333333333333333	0
143	0.333333333333333	0
144	0.333333333333333	0
145	0.666666666666667	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	0.666666666666667	0
158	1	0
159	1	0
160	0.666666666666667	0
161	0.833333333333333	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	0.666666666666667	0
189	0.333333333333333	0
190	0	0
191	0	-0.333333333333333
192	0	-0.333333333333333
193	0	-0.666666666666667
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-1
199	0	-1
200	0	-1
201	0	-1
202	0	-1
203	0	-1
204	0	-0.833333333333333
205	0	-0.666666666666667
206	0	-0.5
207	0	-0.333333333333333
208	0	-0.166666666666667
209	0	0
