position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-1
104	0	-1
105	0	-1
106	0	-1
107	0	-1
108	0	-1
109	0	-1
110	0	-1
111	0	-1
112	0	-1
113	0	-1
114	0	-1
115	0	-1
116	0	-1
117	0	-1
118	0	-1
119	0	-1
120	0	-1
121	0	-0.666666666666667
122	0	-0.666666666666667
123	0	-0.333333333333333
124	0	0
125	0.333333333333333	0
126	0.666666666666667	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	0.666666666666667	0
145	0.666666666666667	0
146	0.666666666666667	0
147	0.333333333333333	0
148	0	0
149	0	-0.333333333333333
150	0	-0.333333333333333
151	0	-0.666666666666667
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-0.666666666666667
161	0	-0.666666666666667
162	0	-0.666666666666667
163	0	-0.333333333333333
164	0	0
165	0.333333333333333	0
166	0	0
167	0	0
168	0.333333333333333	0
169	0.333333333333333	0
170	0.333333333333333	0
171	0.666666666666667	0
172	1	0
173	0.666666666666667	0
174	0.333333333333333	0
175	0.333333333333333	0
176	0	0
177	0	0
178	0	0
179	0.333333333333333	0
180	0.666666666666667	0
181	0.666666666666667	0
182	0.666666666666667	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	0.666666666666667	0
190	0.666666666666667	0
191	0.666666666666667	0
192	0.666666666666667	0
193	0.666666666666667	0
194	0.666666666666667	0
195	0.666666666666667	0
196	0.666666666666667	0
197	0.666666666666667	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	0.666666666666667	0
211	0.333333333333333	0
212	0	0
213	0	-0.333333333333333
214	0	-0.666666666666667
215	0	-1
216	0	-1
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-1
232	0	-1
233	0	-1
234	0	-1
235	0	-0.833333333333333
236	0	-0.666666666666667
237	0	-0.5
238	0	-0.333333333333333
239	0	-0.166666666666667
240	0	0
