position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-0.666666666666667
74	0	-0.333333333333333
75	0	0
76	0.333333333333333	0
77	0.666666666666667	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	0.666666666666667	0
92	0.666666666666667	0
93	0.666666666666667	0
94	0.666666666666667	0
95	0.666666666666667	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	0.666666666666667	0
111	0.666666666666667	0
112	0.333333333333333	0
113	0.333333333333333	0
114	0.333333333333333	0
115	0.333333333333333	0
116	0.333333333333333	0
117	0.666666666666667	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	0.666666666666667	0
144	0.333333333333333	0
145	0	0
146	0	-0.333333333333333
147	0	-0.333333333333333
148	0	-0.333333333333333
149	0	-0.333333333333333
150	0	-0.666666666666667
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-0.666666666666667
157	0	-0.333333333333333
158	0	0
159	0.333333333333333	0
160	0.666666666666667	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	0.666666666666667	0
179	0.333333333333333	0
180	0.333333333333333	0
181	0	0
182	0	-0.333333333333333
183	0	-0.666666666666667
184	0	-1
185	0	-1
186	0	-1
187	0	-0.666666666666667
188	0	-1
189	0	-0.666666666666667
190	0	-0.666666666666667
191	0	-0.333333333333333
192	0	-0.333333333333333
193	0	-0.333333333333333
194	0	0
195	0	0
196	0.333333333333333	0
197	0.333333333333333	0
198	0.333333333333333	0
199	0.666666666666667	0
200	0.666666666666667	0
201	0.666666666666667	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	0.666666666666667	0
217	0.333333333333333	0
218	0	0
219	0	-0.333333333333333
220	0	-0.666666666666667
221	0	-1
222	0	-1
223	0	-0.666666666666667
224	0	-0.666666666666667
225	0	-0.333333333333333
226	0	0
227	0	0
228	0.333333333333333	0
229	0.666666666666667	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	1	0
246	1	0
247	0.666666666666667	0
248	0.666666666666667	0
249	0.333333333333333	0
250	0.333333333333333	0
