position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-0.666666666666667
28	0	-0.333333333333333
29	0	0
30	0.333333333333333	0
31	0.666666666666667	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	0.666666666666667	0
118	0.333333333333333	0
119	0	0
120	0	-0.333333333333333
121	0	-0.666666666666667
122	0	-1
123	0	-1
124	0	-1
125	0	-1
126	0	-1
127	0	-1
128	0	-1
129	0	-1
130	0	-1
131	0	-0.666666666666667
132	0	-0.5
133	0	-0.333333333333333
134	0	0
135	0	-0.166666666666667
136	0	-0.166666666666667
137	0	-0.333333333333333
138	0	-0.666666666666667
139	0	-1
140	0	-1
141	0	-1
142	0	-1
143	0	-1
144	0	-1
145	0	-1
146	0	-1
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-1
170	0	-1
171	0	-1
172	0	-0.666666666666667
173	0	-0.666666666666667
174	0	-0.666666666666667
175	0	-0.333333333333333
176	0	-0.333333333333333
177	0	-0.333333333333333
178	0	-0.166666666666667
179	0	-0.166666666666667
180	0	-0.333333333333333
181	0	-0.666666666666667
182	0	-0.833333333333333
183	0	-1
184	0	-0.666666666666667
185	0	-1
186	0	-1
187	0	-1
188	0	-1
189	0	-1
190	0	-0.833333333333333
191	0	-1
192	0	-1
193	0	-1
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-1
199	0	-1
200	0	-1
201	0	-1
202	0	-1
203	0	-1
204	0	-1
205	0	-1
206	0	-1
207	0	-1
208	0	-1
209	0	-0.666666666666667
210	0	-0.333333333333333
211	0	-0.333333333333333
212	0	-0.166666666666667
213	0	-0.166666666666667
214	0	-0.166666666666667
215	0	-0.333333333333333
216	0	-0.666666666666667
217	0	-0.5
218	0	-0.666666666666667
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-0.666666666666667
228	0	-0.333333333333333
229	0	-0.166666666666667
230	0.166666666666667	0
231	0.333333333333333	0
232	0.333333333333333	0
233	0	0
234	0	-0.166666666666667
235	0	-0.333333333333333
236	0	-0.5
237	0	-0.333333333333333
238	0	-0.333333333333333
239	0	-0.666666666666667
240	0	-1
241	0	-1
242	0	-1
243	0	-1
244	0	-1
245	0	-1
246	0	-1
247	0	-1
248	0	-1
249	0	-1
250	0	-1
251	0	-1
