position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-0.666666666666667
17	0	-0.5
18	0	-0.666666666666667
19	0	-0.333333333333333
20	0	0
21	0.333333333333333	0
22	0.333333333333333	0
23	0.333333333333333	0
24	0.666666666666667	0
25	1	0
26	0.666666666666667	0
27	0.666666666666667	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	0.666666666666667	0
48	0.333333333333333	0
49	0	0
50	0	0
51	0.333333333333333	0
52	0.333333333333333	0
53	0.666666666666667	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	0.666666666666667	0
75	0.333333333333333	0
76	0	0
77	0	-0.333333333333333
78	0	-0.666666666666667
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-0.666666666666667
101	0	-0.333333333333333
102	0	0
103	0.333333333333333	0
104	0.666666666666667	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	0.666666666666667	0
112	0.333333333333333	0
113	0.333333333333333	0
114	0.333333333333333	0
115	0.333333333333333	0
116	0.333333333333333	0
117	0.333333333333333	0
118	0.333333333333333	0
119	0.333333333333333	0
120	0.333333333333333	0
121	0.666666666666667	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	0.666666666666667	0
134	0.5	0
135	0.333333333333333	0
136	0.333333333333333	0
137	0	0
138	0	0
139	0	-0.166666666666667
140	0	-0.5
141	0	-0.833333333333333
142	0	-1
143	0	-1
144	0	-1
145	0	-1
146	0	-1
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-0.833333333333333
152	0	-1
153	0	-0.666666666666667
154	0	-0.666666666666667
155	0	-0.666666666666667
156	0	-0.333333333333333
157	0	0
158	0.333333333333333	0
159	0.666666666666667	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	0.666666666666667	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	0.666666666666667	0
217	0.666666666666667	0
218	0.666666666666667	0
219	0.833333333333333	0
220	0.666666666666667	0
221	0.5	0
222	0.333333333333333	0
223	0.666666666666667	0
224	0.666666666666667	0
225	0.666666666666667	0
226	0.666666666666667	0
227	0.666666666666667	0
228	1	0
229	1	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	1	0
246	0.666666666666667	0
247	0.333333333333333	0
248	0	0
249	0	-0.333333333333333
250	0	-0.666666666666667
251	0	-0.666666666666667
