position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-0.833333333333333
73	0	-0.666666666666667
74	0	-0.333333333333333
75	0	0
76	0.333333333333333	0
77	0.666666666666667	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	0.666666666666667	0
91	1	0
92	1	0
93	0.666666666666667	0
94	0.333333333333333	0
95	0	0
96	0	-0.333333333333333
97	0	-0.333333333333333
98	0	-0.333333333333333
99	0	-0.5
100	0	-0.333333333333333
101	0	0
102	0.166666666666667	0
103	0.333333333333333	0
104	0.666666666666667	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	0.666666666666667	0
133	0.333333333333333	0
134	0	0
135	0	-0.333333333333333
136	0	-0.666666666666667
137	0	-1
138	0	-1
139	0	-1
140	0	-1
141	0	-0.666666666666667
142	0	-0.666666666666667
143	0	-0.333333333333333
144	0	0
145	0.333333333333333	0
146	0.666666666666667	0
147	0.666666666666667	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	0.666666666666667	0
154	0.666666666666667	0
155	0.666666666666667	0
156	0.666666666666667	0
157	0.333333333333333	0
158	0.333333333333333	0
159	0.666666666666667	0
160	0.666666666666667	0
161	0.666666666666667	0
162	0.666666666666667	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	0.666666666666667	0
176	0.333333333333333	0
177	0	0
178	0	-0.333333333333333
179	0	-0.333333333333333
180	0	0
181	0.333333333333333	0
182	0.666666666666667	0
183	0.666666666666667	0
184	0.666666666666667	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	0.666666666666667	0
195	0.333333333333333	0
196	0.333333333333333	0
197	0.333333333333333	0
198	0.333333333333333	0
199	0.166666666666667	0
200	0	0
201	0	0
202	0	-0.166666666666667
203	0	-0.333333333333333
204	0	-0.333333333333333
205	0	-0.666666666666667
206	0	-1
207	0	-1
208	0	-0.666666666666667
209	0	-0.666666666666667
210	0	-0.666666666666667
211	0	-0.666666666666667
212	0	-0.666666666666667
213	0	-0.666666666666667
214	0	-1
215	0	-1
216	0	-1
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-1
232	0	-1
233	0	-1
234	0	-1
235	0	-1
236	0	-1
237	0	-1
238	0	-1
239	0	-1
240	0	-0.666666666666667
241	0	-0.5
242	0	-0.5
