position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-0.833333333333333
81	0	-0.5
82	0	-0.166666666666667
83	0	-0.333333333333333
84	0	-0.333333333333333
85	0	-0.333333333333333
86	0	-0.333333333333333
87	0	-0.666666666666667
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-1
104	0	-0.666666666666667
105	0	-0.333333333333333
106	0	0
107	0	-0.166666666666667
108	0	-0.333333333333333
109	0	-0.666666666666667
110	0	-1
111	0	-1
112	0	-0.666666666666667
113	0	-0.333333333333333
114	0	-0.333333333333333
115	0	-0.333333333333333
116	0	-0.333333333333333
117	0	0
118	0	0
119	0	0
120	0	-0.166666666666667
121	0	0
122	0.333333333333333	0
123	0.166666666666667	0
124	0.333333333333333	0
125	0	0
126	0	-0.333333333333333
127	0	-0.333333333333333
128	0	0
129	0	0
130	0.166666666666667	0
131	0.5	0
132	0.833333333333333	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	0.833333333333333	0
155	0.5	0
156	0.333333333333333	0
157	0.166666666666667	0
158	0.166666666666667	0
159	0.333333333333333	0
160	0.666666666666667	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	0.666666666666667	0
173	0.5	0
174	0.5	0
175	0.5	0
176	0.666666666666667	0
177	0.666666666666667	0
178	0.666666666666667	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	0.666666666666667	0
206	0.333333333333333	0
207	0	0
208	0	-0.333333333333333
209	0	-0.666666666666667
210	0	-1
211	0	-1
212	0	-1
213	0	-1
214	0	-1
215	0	-1
216	0	-1
217	0	-1
218	0	-0.666666666666667
219	0	-0.333333333333333
220	0	0
221	0.333333333333333	0
222	0.666666666666667	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254	1	0
255	1	0
256	0.666666666666667	0
257	0.666666666666667	0
