position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-1
104	0	-1
105	0	-1
106	0	-1
107	0	-1
108	0	-1
109	0	-1
110	0	-1
111	0	-1
112	0	-1
113	0	-1
114	0	-1
115	0	-1
116	0	-1
117	0	-1
118	0	-1
119	0	-1
120	0	-1
121	0	-1
122	0	-1
123	0	-1
124	0	-1
125	0	-0.666666666666667
126	0	-0.333333333333333
127	0	-0.333333333333333
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	-0.333333333333333
137	0	-0.333333333333333
138	0	0
139	0.333333333333333	0
140	0.333333333333333	0
141	0.666666666666667	0
142	1	0
143	1	0
144	1	0
145	0.666666666666667	0
146	0.333333333333333	0
147	0	0
148	0	-0.333333333333333
149	0	-0.666666666666667
150	0	-1
151	0	-1
152	0	-0.666666666666667
153	0	-0.666666666666667
154	0	-0.333333333333333
155	0	-0.333333333333333
156	0	0
157	0.333333333333333	0
158	0.333333333333333	0
159	0.666666666666667	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	0.666666666666667	0
183	0.666666666666667	0
184	0.666666666666667	0
185	0.666666666666667	0
186	0.666666666666667	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	0.666666666666667	0
199	0.666666666666667	0
200	0.333333333333333	0
201	0.333333333333333	0
202	0.333333333333333	0
203	0	0
204	0	0
205	0.333333333333333	0
206	0.666666666666667	0
207	0.666666666666667	0
208	0.333333333333333	0
209	0.333333333333333	0
210	0.333333333333333	0
211	0	0
212	0	-0.333333333333333
213	0	-0.333333333333333
214	0	0
215	0	-0.333333333333333
216	0	-0.333333333333333
217	0	-0.333333333333333
218	0	-0.333333333333333
219	0	-0.333333333333333
220	0	-0.666666666666667
221	0	-0.666666666666667
222	0	-0.666666666666667
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-1
232	0	-1
233	0	-1
234	0	-1
235	0	-1
236	0	-1
237	0	-1
238	0	-1
239	0	-1
240	0	-1
241	0	-1
242	0	-1
243	0	-1
244	0	-1
245	0	-1
246	0	-1
247	0	-1
248	0	-1
249	0	-1
250	0	-1
251	0	-1
