position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-0.666666666666667
21	0	-0.333333333333333
22	0	0
23	0.333333333333333	0
24	0.666666666666667	0
25	1	0
26	1	0
27	1	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	0.833333333333333	0
35	0.666666666666667	0
36	0.666666666666667	0
37	0.833333333333333	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	0.666666666666667	0
45	0.666666666666667	0
46	0.333333333333333	0
47	0	0
48	0	-0.333333333333333
49	0	0
50	0	-0.166666666666667
51	0	0
52	0.333333333333333	0
53	0.5	0
54	0.833333333333333	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	0.666666666666667	0
77	0.333333333333333	0
78	0	0
79	0	-0.333333333333333
80	0	-0.333333333333333
81	0	-0.666666666666667
82	0	-0.333333333333333
83	0	0
84	0.333333333333333	0
85	0.666666666666667	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	0.666666666666667	0
109	0.333333333333333	0
110	0	0
111	0	-0.333333333333333
112	0	-0.333333333333333
113	0	-0.333333333333333
114	0	-0.333333333333333
115	0	0
116	0.333333333333333	0
117	0.666666666666667	0
118	0.666666666666667	0
119	0.666666666666667	0
120	0.666666666666667	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	0.666666666666667	0
135	0.333333333333333	0
136	0	0
137	0	-0.333333333333333
138	0	-0.666666666666667
139	0	-0.666666666666667
140	0	-0.666666666666667
141	0	-0.333333333333333
142	0	0
143	0.333333333333333	0
144	0.666666666666667	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	0.833333333333333	0
158	0.666666666666667	0
159	0.333333333333333	0
160	0	0
161	0	-0.166666666666667
162	0	-0.333333333333333
163	0	-0.5
164	0	-0.333333333333333
165	0	-0.166666666666667
166	0	0
