position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-0.666666666666667
8	0	-0.333333333333333
9	0	0
10	0.333333333333333	0
11	0.666666666666667	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	0.666666666666667	0
18	0.666666666666667	0
19	0.666666666666667	0
20	0.666666666666667	0
21	0.333333333333333	0
22	0	0
23	0	0
24	0	-0.333333333333333
25	0	-0.666666666666667
26	0	-1
27	0	-1
28	0	-1
29	0	-0.666666666666667
30	0	-0.333333333333333
31	0	0
32	0.333333333333333	0
33	0.666666666666667	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	0.666666666666667	0
44	0.333333333333333	0
45	0	0
46	0	-0.333333333333333
47	0	-0.666666666666667
48	0	-0.666666666666667
49	0	-0.666666666666667
50	0	-0.666666666666667
51	0	-0.333333333333333
52	0	-0.333333333333333
53	0	0
54	0.333333333333333	0
55	0.666666666666667	0
56	0.666666666666667	0
57	0.666666666666667	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	0.666666666666667	0
69	0.666666666666667	0
70	0.666666666666667	0
71	0.666666666666667	0
72	0.666666666666667	0
73	0.666666666666667	0
74	0.666666666666667	0
75	1	0
76	1	0
77	0.666666666666667	0
78	0.333333333333333	0
79	0	0
80	0	-0.333333333333333
81	0	-0.666666666666667
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-0.666666666666667
89	0	-0.333333333333333
90	0	0
91	0.333333333333333	0
92	0.666666666666667	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	0.666666666666667	0
105	0.666666666666667	0
106	0.666666666666667	0
107	0.333333333333333	0
108	0.333333333333333	0
109	0.666666666666667	0
110	0.666666666666667	0
111	0.666666666666667	0
112	0.333333333333333	0
113	0.333333333333333	0
114	0	0
115	0	-0.333333333333333
116	0	-0.666666666666667
117	0	-1
118	0	-1
119	0	-1
120	0	-1
121	0	-1
122	0	-1
123	0	-1
124	0	-1
125	0	-1
126	0	-1
127	0	-0.666666666666667
128	0	-0.333333333333333
129	0	0
130	0.333333333333333	0
131	0.333333333333333	0
132	0.666666666666667	0
133	0.666666666666667	0
134	0.333333333333333	0
135	0	0
136	0	-0.333333333333333
137	0	-0.666666666666667
138	0	-0.666666666666667
139	0	-1
140	0	-1
141	0	-1
142	0	-1
143	0	-1
144	0	-1
145	0	-1
146	0	-1
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-0.666666666666667
167	0	-0.333333333333333
168	0	0
169	0.333333333333333	0
170	0.666666666666667	0
171	1	0
172	0.666666666666667	0
173	0.333333333333333	0
174	0	0
175	0	-0.333333333333333
176	0	-0.666666666666667
177	0	-1
178	0	-1
179	0	-1
180	0	-1
181	0	-1
182	0	-1
183	0	-1
184	0	-1
185	0	-1
186	0	-0.666666666666667
187	0	-0.333333333333333
188	0	0
189	0.333333333333333	0
190	0.666666666666667	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	0.666666666666667	0
198	0.333333333333333	0
199	0	0
200	0	-0.333333333333333
201	0	-0.666666666666667
202	0	-1
203	0	-1
204	0	-1
205	0	-1
206	0	-0.666666666666667
207	0	-0.333333333333333
208	0	0
209	0.333333333333333	0
210	0.666666666666667	0
211	1	0
212	1	0
213	1	0
214	1	0
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254	1	0
255	1	0
256	1	0
257	1	0
258	1	0
259	0.666666666666667	0
260	0.666666666666667	0
261	0.333333333333333	0
262	0	0
263	0	-0.333333333333333
264	0	-0.666666666666667
265	0	-1
266	0	-1
267	0	-1
268	0	-1
269	0	-1
270	0	-0.833333333333333
271	0	-0.666666666666667
272	0	-0.5
273	0	-0.333333333333333
274	0	-0.166666666666667
275	0	0
