position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-0.666666666666667
25	0	-0.333333333333333
26	0	0
27	0.333333333333333	0
28	0.666666666666667	0
29	1	0
30	0.666666666666667	0
31	0.333333333333333	0
32	0.333333333333333	0
33	0	0
34	0	-0.333333333333333
35	0	-0.666666666666667
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-0.666666666666667
66	0	-0.333333333333333
67	0	0
68	0.333333333333333	0
69	0.666666666666667	0
70	1	0
71	0.666666666666667	0
72	0.666666666666667	0
73	0.333333333333333	0
74	0	0
75	0.333333333333333	0
76	0	0
77	0.333333333333333	0
78	0.333333333333333	0
79	0.333333333333333	0
80	0	0
81	0	-0.333333333333333
82	0	-0.666666666666667
83	0	-1
84	0	-1
85	0	-0.666666666666667
86	0	-0.666666666666667
87	0	-0.333333333333333
88	0	-0.333333333333333
89	0	-0.333333333333333
90	0	0
91	0	0
92	0.333333333333333	0
93	0.666666666666667	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	0.666666666666667	0
158	0.666666666666667	0
159	0.333333333333333	0
160	0.333333333333333	0
161	0.333333333333333	0
162	0.333333333333333	0
163	0.666666666666667	0
164	0.666666666666667	0
165	0.666666666666667	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	0.666666666666667	0
204	0.666666666666667	0
205	0.333333333333333	0
206	0.333333333333333	0
207	0.333333333333333	0
208	0.333333333333333	0
209	0.333333333333333	0
210	0.666666666666667	0
211	0.666666666666667	0
212	0.333333333333333	0
213	0	0
214	0	-0.333333333333333
215	0	-0.666666666666667
216	0	-1
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-1
232	0	-1
233	0	-1
234	0	-1
235	0	-1
236	0	-1
237	0	-1
238	0	-1
239	0	-1
240	0	-1
241	0	-1
242	0	-1
243	0	-1
244	0	-1
245	0	-1
246	0	-1
247	0	-1
248	0	-1
249	0	-1
250	0	-1
251	0	-1
252	0	-1
253	0	-1
254	0	-1
255	0	-1
256	0	-1
257	0	-1
