position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-0.666666666666667
40	0	-0.333333333333333
41	0	0
42	0.333333333333333	0
43	0.666666666666667	0
44	1	0
45	0.666666666666667	0
46	0.333333333333333	0
47	0	0
48	0	-0.333333333333333
49	0	-0.666666666666667
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-0.833333333333333
58	0	-0.833333333333333
59	0	-0.666666666666667
60	0	-0.833333333333333
61	0	-0.833333333333333
62	0	-0.5
63	0	-0.333333333333333
64	0	0
65	0.333333333333333	0
66	0.333333333333333	0
67	0.666666666666667	0
68	0.666666666666667	0
69	0.833333333333333	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	0.666666666666667	0
86	0.333333333333333	0
87	0.166666666666667	0
88	0	0
89	0	0
90	0.166666666666667	0
91	0.333333333333333	0
92	0.666666666666667	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	0.666666666666667	0
115	0.333333333333333	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0.333333333333333	0
121	0.666666666666667	0
122	0.666666666666667	0
123	0.333333333333333	0
124	0	0
125	0	-0.333333333333333
126	0	-0.5
127	0	-0.833333333333333
128	0	-1
129	0	-1
130	0	-1
131	0	-1
132	0	-1
133	0	-1
134	0	-1
135	0	-1
136	0	-1
137	0	-1
138	0	-1
139	0	-1
140	0	-1
141	0	-1
142	0	-1
143	0	-1
144	0	-1
145	0	-1
146	0	-1
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-1
169	0	-1
170	0	-1
171	0	-1
172	0	-1
173	0	-1
174	0	-1
175	0	-1
176	0	-1
177	0	-1
178	0	-1
179	0	-1
180	0	-1
181	0	-1
182	0	-1
183	0	-1
184	0	-1
185	0	-1
186	0	-1
187	0	-1
188	0	-1
189	0	-1
190	0	-1
191	0	-1
192	0	-1
193	0	-1
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-1
199	0	-1
200	0	-1
201	0	-1
202	0	-1
203	0	-1
204	0	-1
205	0	-1
206	0	-1
207	0	-1
208	0	-1
209	0	-1
210	0	-1
211	0	-1
212	0	-1
213	0	-1
214	0	-1
215	0	-1
216	0	-1
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-1
232	0	-1
233	0	-1
234	0	-1
235	0	-1
236	0	-1
237	0	-1
238	0	-1
239	0	-1
240	0	-1
241	0	-1
242	0	-1
243	0	-1
244	0	-1
245	0	-1
246	0	-1
247	0	-1
248	0	-1
249	0	-1
250	0	-1
251	0	-1
252	0	-1
253	0	-1
254	0	-1
255	0	-1
256	0	-1
257	0	-1
258	0	-1
259	0	-1
260	0	-1
