position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-0.666666666666667
59	0	-0.333333333333333
60	0	0
61	0.333333333333333	0
62	0.666666666666667	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	0.666666666666667	0
76	0.666666666666667	0
77	0.666666666666667	0
78	0.666666666666667	0
79	0.333333333333333	0
80	0.666666666666667	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	0.666666666666667	0
102	0.333333333333333	0
103	0	0
104	0	-0.333333333333333
105	0	-0.666666666666667
106	0	-1
107	0	-1
108	0	-0.666666666666667
109	0	-0.333333333333333
110	0	0
111	0	0
112	0.333333333333333	0
113	0.666666666666667	0
114	0.666666666666667	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	0.666666666666667	0
146	0.666666666666667	0
147	0.666666666666667	0
148	0.666666666666667	0
149	0.666666666666667	0
150	0.666666666666667	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	0.666666666666667	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	0.666666666666667	0
193	0.333333333333333	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	-0.333333333333333
199	0	-0.333333333333333
200	0	-0.333333333333333
201	0	-0.333333333333333
202	0	-0.333333333333333
203	0	0
204	0.333333333333333	0
205	0.333333333333333	0
206	0.333333333333333	0
207	0.333333333333333	0
208	0.333333333333333	0
209	0.333333333333333	0
210	0.666666666666667	0
211	0.666666666666667	0
212	0.666666666666667	0
213	1	0
214	1	0
215	1	0
216	1	0
217	1	0
218	0.666666666666667	0
219	0.333333333333333	0
220	0	0
221	0	-0.333333333333333
222	0	-0.666666666666667
223	0	-1
224	0	-0.666666666666667
225	0	-0.333333333333333
226	0	0
227	0.333333333333333	0
228	0.666666666666667	0
229	1	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	1	0
240	0.666666666666667	0
241	0.666666666666667	0
242	0.666666666666667	0
243	0.666666666666667	0
244	0.666666666666667	0
245	0.666666666666667	0
246	0.666666666666667	0
247	0.666666666666667	0
248	0.666666666666667	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254	1	0
255	1	0
256	1	0
257	1	0
258	1	0
259	1	0
260	1	0
261	1	0
262	1	0
263	1	0
264	1	0
265	1	0
266	1	0
267	0.666666666666667	0
268	0.333333333333333	0
269	0	0
270	0	-0.333333333333333
271	0	-0.666666666666667
272	0	-1
273	0	-1
274	0	-1
275	0	-1
276	0	-1
277	0	-1
278	0	-1
279	0	-1
280	0	-1
281	0	-1
282	0	-1
283	0	-1
284	0	-1
285	0	-1
286	0	-1
287	0	-1
288	0	-1
289	0	-1
290	0	-1
291	0	-1
292	0	-1
293	0	-1
294	0	-1
295	0	-1
296	0	-1
297	0	-1
298	0	-1
299	0	-1
300	0	-1
301	0	-1
302	0	-1
303	0	-1
304	0	-1
305	0	-1
306	0	-1
307	0	-1
308	0	-1
309	0	-1
310	0	-1
311	0	-1
312	0	-1
313	0	-1
314	0	-1
315	0	-1
316	0	-1
317	0	-1
318	0	-1
319	0	-1
320	0	-1
321	0	-1
322	0	-1
323	0	-1
324	0	-1
325	0	-1
326	0	-1
327	0	-1
328	0	-1
329	0	-1
330	0	-1
331	0	-1
332	0	-1
333	0	-1
334	0	-1
335	0	-1
336	0	-1
337	0	-1
338	0	-1
339	0	-1
340	0	-1
341	0	-1
342	0	-1
343	0	-1
344	0	-1
345	0	-1
346	0	-1
347	0	-1
348	0	-1
349	0	-1
350	0	-1
351	0	-0.833333333333333
352	0	-0.666666666666667
353	0	-0.5
354	0	-0.333333333333333
355	0	-0.166666666666667
356	0	0
