position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-0.666666666666667
64	0	-0.333333333333333
65	0	0
66	0.333333333333333	0
67	0.666666666666667	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	0.666666666666667	0
81	0.666666666666667	0
82	0.333333333333333	0
83	0.333333333333333	0
84	0.333333333333333	0
85	0	0
86	0	0
87	0	-0.333333333333333
88	0	-0.666666666666667
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-0.666666666666667
99	0	-0.333333333333333
100	0	-0.333333333333333
101	0	-0.666666666666667
102	0	-1
103	0	-1
104	0	-1
105	0	-1
106	0	-1
107	0	-0.666666666666667
108	0	-0.333333333333333
109	0	-0.166666666666667
110	0	-0.166666666666667
111	0	0
112	0.333333333333333	0
113	0.333333333333333	0
114	0.666666666666667	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	0.666666666666667	0
215	0.333333333333333	0
216	0	0
217	0	-0.333333333333333
218	0	-0.666666666666667
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-0.666666666666667
232	0	-0.333333333333333
233	0	0
234	0.333333333333333	0
235	0.333333333333333	0
236	0.666666666666667	0
237	0.5	0
238	0.333333333333333	0
239	0.666666666666667	0
240	1	0
241	1	0
242	0.666666666666667	0
243	0.666666666666667	0
244	0.833333333333333	0
245	0.833333333333333	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254	1	0
255	0.666666666666667	0
256	0.666666666666667	0
257	0.333333333333333	0
258	0	0
259	0	-0.333333333333333
260	0	-0.666666666666667
261	0	-1
262	0	-1
263	0	-1
264	0	-1
