position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	-1
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	-1
99	0	-1
100	0	-1
101	0	-1
102	0	-1
103	0	-1
104	0	-1
105	0	-1
106	0	-1
107	0	-1
108	0	-1
109	0	-1
110	0	-1
111	0	-1
112	0	-0.666666666666667
113	0	-0.666666666666667
114	0	-0.333333333333333
115	0	0
116	0.333333333333333	0
117	0.666666666666667	0
118	0.666666666666667	0
119	0.666666666666667	0
120	0.666666666666667	0
121	0.666666666666667	0
122	1	0
123	1	0
124	0.666666666666667	0
125	0.666666666666667	0
126	0.333333333333333	0
127	0	0
128	0	0
129	0	0
130	0.333333333333333	0
131	0.333333333333333	0
132	0.666666666666667	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	0.666666666666667	0
144	0.333333333333333	0
145	0	0
146	0	-0.333333333333333
147	0	-0.666666666666667
148	0	-1
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-0.666666666666667
162	0	-0.333333333333333
163	0	0
164	0.333333333333333	0
165	0.666666666666667	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	0.666666666666667	0
174	0.666666666666667	0
175	0.666666666666667	0
176	0.333333333333333	0
177	0	0
178	0	0
179	0.333333333333333	0
180	0.333333333333333	0
181	0	0
182	0	-0.333333333333333
183	0	-0.666666666666667
184	0	-0.666666666666667
185	0	-0.333333333333333
186	0	0
187	0.333333333333333	0
188	0.666666666666667	0
189	1	0
190	0.666666666666667	0
191	0.333333333333333	0
192	0	0
193	0	-0.333333333333333
194	0	-0.666666666666667
195	0	-1
196	0	-0.666666666666667
197	0	-0.333333333333333
198	0	0
199	0.333333333333333	0
200	0.666666666666667	0
201	1	0
202	0.666666666666667	0
203	0.333333333333333	0
204	0	0
205	0	-0.333333333333333
206	0	-0.666666666666667
207	0	-1
208	0	-1
209	0	-1
210	0	-1
211	0	-1
212	0	-1
213	0	-1
214	0	-1
215	0	-0.666666666666667
216	0	-0.333333333333333
217	0	0
218	0.333333333333333	0
219	0.666666666666667	0
220	1	0
221	0.666666666666667	0
222	0.666666666666667	0
223	0.666666666666667	0
224	0.666666666666667	0
225	0.333333333333333	0
226	0.333333333333333	0
227	0.666666666666667	0
228	0.666666666666667	0
229	0.666666666666667	0
230	0.333333333333333	0
231	0.333333333333333	0
232	0.666666666666667	0
233	0.333333333333333	0
234	0	0
235	0	-0.333333333333333
