position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-0.666666666666667
28	0	-0.333333333333333
29	0	0
30	0.333333333333333	0
31	0.666666666666667	0
32	1	0
33	0.666666666666667	0
34	0.333333333333333	0
35	0	0
36	0	0
37	0	-0.333333333333333
38	0	-0.666666666666667
39	0	-0.666666666666667
40	0	-0.666666666666667
41	0	-0.666666666666667
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	-1
69	0	-1
70	0	-1
71	0	-1
72	0	-1
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	-1
84	0	-1
85	0	-1
86	0	-1
87	0	-1
88	0	-0.666666666666667
89	0	-0.666666666666667
90	0	-0.333333333333333
91	0	0
92	0.333333333333333	0
93	0.666666666666667	0
94	0.666666666666667	0
95	0.666666666666667	0
96	0.666666666666667	0
97	0.666666666666667	0
98	0.666666666666667	0
99	0.666666666666667	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	0.666666666666667	0
112	0.333333333333333	0
113	0	0
114	0	-0.333333333333333
115	0	-0.666666666666667
116	0	-1
117	0	-0.666666666666667
118	0	-0.333333333333333
119	0	-0.333333333333333
120	0	0
121	0.333333333333333	0
122	0.666666666666667	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	0.666666666666667	0
130	0.333333333333333	0
131	0.333333333333333	0
132	0.666666666666667	0
133	0.666666666666667	0
134	0.333333333333333	0
135	0.333333333333333	0
136	0	0
137	0	-0.333333333333333
138	0	-0.666666666666667
139	0	-1
140	0	-1
141	0	-1
142	0	-1
143	0	-0.666666666666667
144	0	-0.333333333333333
145	0	0
146	0	0
147	0.333333333333333	0
148	0.666666666666667	0
149	0.666666666666667	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	0.666666666666667	0
166	0.333333333333333	0
167	0.333333333333333	0
168	0.333333333333333	0
169	0.333333333333333	0
170	0.333333333333333	0
171	0.666666666666667	0
172	0.666666666666667	0
173	0.666666666666667	0
174	0.666666666666667	0
175	0.666666666666667	0
176	1	0
177	0.666666666666667	0
178	0.666666666666667	0
179	0.666666666666667	0
180	0.666666666666667	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	0.666666666666667	0
189	0.333333333333333	0
190	0.333333333333333	0
191	0.333333333333333	0
192	0.333333333333333	0
193	0.333333333333333	0
194	0.666666666666667	0
195	1	0
196	1	0
197	0.666666666666667	0
198	0.333333333333333	0
199	0.333333333333333	0
200	0.333333333333333	0
201	0.333333333333333	0
202	0.333333333333333	0
203	0.666666666666667	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	0.666666666666667	0
212	0.666666666666667	0
213	0.333333333333333	0
214	0	0
215	0	-0.333333333333333
216	0	-0.666666666666667
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
