position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-0.666666666666667
25	0	-0.333333333333333
26	0	0
27	0.333333333333333	0
28	0.666666666666667	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	0.666666666666667	0
43	0.333333333333333	0
44	0.333333333333333	0
45	0	0
46	0	0
47	0	0
48	0.333333333333333	0
49	0.666666666666667	0
50	0.666666666666667	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	0.666666666666667	0
75	0.666666666666667	0
76	0.666666666666667	0
77	0.666666666666667	0
78	0.666666666666667	0
79	0.666666666666667	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	0.666666666666667	0
131	0.333333333333333	0
132	0	0
133	0	-0.333333333333333
134	0	-0.666666666666667
135	0	-0.666666666666667
136	0	-1
137	0	-1
138	0	-1
139	0	-1
140	0	-1
141	0	-1
142	0	-1
143	0	-1
144	0	-1
145	0	-1
146	0	-1
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	-1
156	0	-1
157	0	-1
158	0	-1
159	0	-1
160	0	-1
161	0	-1
162	0	-1
163	0	-1
164	0	-1
165	0	-1
166	0	-1
167	0	-1
168	0	-0.666666666666667
169	0	-0.666666666666667
170	0	-0.333333333333333
171	0	0
172	0.333333333333333	0
173	0.333333333333333	0
174	0.333333333333333	0
175	0.333333333333333	0
176	0.666666666666667	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	0.666666666666667	0
206	0.333333333333333	0
207	0	0
208	0	-0.333333333333333
209	0	-0.666666666666667
210	0	-1
211	0	-1
212	0	-1
213	0	-1
214	0	-1
215	0	-1
216	0	-1
217	0	-1
218	0	-1
219	0	-1
220	0	-1
221	0	-1
222	0	-1
223	0	-1
224	0	-1
225	0	-1
226	0	-1
227	0	-1
228	0	-1
229	0	-1
230	0	-1
231	0	-1
232	0	-1
233	0	-0.666666666666667
234	0	-0.333333333333333
235	0	-0.333333333333333
236	0	0
237	0.333333333333333	0
238	0.333333333333333	0
239	0.666666666666667	0
240	0.666666666666667	0
241	1	0
242	0.666666666666667	0
243	1	0
244	1	0
245	1	0
246	0.666666666666667	0
247	0.666666666666667	0
248	1	0
249	0.666666666666667	0
250	0.666666666666667	0
251	0.333333333333333	0
252	0.333333333333333	0
253	0	0
254	0	-0.333333333333333
255	0	-0.666666666666667
256	0	-0.666666666666667
257	0	-0.666666666666667
