position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	-1
64	0	-0.833333333333333
65	0	-0.5
66	0	-0.166666666666667
67	0.166666666666667	0
68	0.5	0
69	0.833333333333333	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	0.666666666666667	0
104	0.333333333333333	0
105	0.333333333333333	0
106	0.333333333333333	0
107	0.333333333333333	0
108	0.333333333333333	0
109	0.666666666666667	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	0.666666666666667	0
136	0.333333333333333	0
137	0	0
138	0	-0.333333333333333
139	0	-0.333333333333333
140	0	-0.166666666666667
141	0	0
142	0	-0.333333333333333
143	0	-0.333333333333333
144	0	-0.333333333333333
145	0	-0.333333333333333
146	0	-0.666666666666667
147	0	-1
148	0	-1
149	0	-1
150	0	-1
151	0	-0.666666666666667
152	0	-0.333333333333333
153	0	0
154	0.333333333333333	0
155	0.666666666666667	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	0.833333333333333	0
171	0.666666666666667	0
172	0.333333333333333	0
173	0	0
174	0	-0.333333333333333
175	0	-0.666666666666667
176	0	-0.666666666666667
177	0	-1
178	0	-1
179	0	-1
180	0	-1
181	0	-1
182	0	-1
183	0	-1
184	0	-1
185	0	-1
186	0	-1
187	0	-1
188	0	-1
189	0	-1
190	0	-1
191	0	-1
192	0	-1
193	0	-1
194	0	-1
195	0	-1
196	0	-1
197	0	-1
198	0	-1
199	0	-1
200	0	-1
201	0	-1
202	0	-1
203	0	-1
204	0	-1
205	0	-0.666666666666667
206	0	-0.666666666666667
207	0	-0.5
208	0	-0.166666666666667
209	0	0
210	0	0
211	0.333333333333333	0
212	0.333333333333333	0
213	0.666666666666667	0
214	0.666666666666667	0
215	0.666666666666667	0
216	0.666666666666667	0
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	0.666666666666667	0
232	0.333333333333333	0
233	0	0
234	0	-0.333333333333333
235	0	-0.666666666666667
236	0	-1
237	0	-1
238	0	-0.666666666666667
239	0	-0.666666666666667
240	0	-0.333333333333333
241	0	0
242	0.333333333333333	0
243	0.666666666666667	0
244	0.833333333333333	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254	1	0
